word,meaning,phonetic
airspace,空域，领空,ˈeəspeɪs
alarm,警报，惊恐,əˈlɑːm
album,相册，唱片集,ˈælbəm
alcohol,酒精，含酒精饮料,ˈælkəhɒl
alcoholic,含酒精的，酒鬼,ˌælkəˈhɒlɪk
algebra,代数,ˈældʒɪbrə
alike,相似的，类似的,əˈlaɪk
alive,活着的,əˈlaɪv
all,全部的，所有的,ɔːl
allergic,过敏的,əˈlɜːdʒɪk
alley,小巷，胡同,ˈæli
allowance,津贴，补助,əˈlaʊəns
almost,几乎，差不多,ˈɔːlməʊst
alone,独自的，孤独的,əˈləʊn
along,沿着；一起,əˈlɒŋ
alongside,在……旁边，同时,əlɒŋˈsaɪd
aloud,大声地,əˈlaʊd
alphabet,字母表,ˈælfəbet
already,已经,ɔːlˈredi
also,也,ˈɔːlsəʊ
alternative,可替代的，替代方案,ɔːlˈtɜːnətɪv
although,尽管，虽然,ɔːlˈðəʊ
altitude,高度，海拔,ˈæltɪtjuːd
altogether,总共，一共,ˌɔːltəˈɡeðə
aluminium,铝,ˌæljʊˈmɪniəm
always,总是；一直,ˈɔːlweɪz
am,是（be动词的一种形式）,æm
a.m.,上午，早上,ˌeɪˈem
A.M.,上午,ˌeɪˈem
amateur,业余的，外行的,ˈæmətə
amaze,使惊讶，惊奇,əˈmeɪz
amazing,令人惊讶的,əˈmeɪzɪŋ
ambassador,大使,æmˈbæsədə
ambassadress,女大使,æmˈbæsədrəs
ambiguous,含糊的，模棱两可的,æmˈbɪɡjuəs
ambition,雄心，抱负,æmˈbɪʃn
ambulance,救护车,ˈæmbjələns
America,美国,əˈmerɪkə
American,美国的；美国人,əˈmerɪkən
among,在……之中,əˈmʌŋ
amount,数量，总额,əˈmaʊnt
ample,充足的，丰富的,ˈæmpl
amuse,使娱乐，使高兴,əˈmjuːz
amusement,娱乐，消遣,əˈmjuːzmənt
analyze,分析,ˈænəlaɪz
analysis,分析，解析,əˈnæləsɪs
ancestor,祖先，祖宗,ˈænsestə
anchor,锚，抛锚,ˈæŋkə
ancient,古老的，古代的,ˈeɪnʃənt
and,和，与,ænd
anecdote,轶事，趣闻,ˈænɪkdəʊt
anger,愤怒,ˈæŋɡə
angle,角度,ˈæŋɡl
angry,生气的,ˈæŋɡri
animal,动物,ˈænɪml
ankle,脚踝,ˈæŋkl
anniversary,周年纪念日,ˌænɪˈvɜːsəri
announce,宣布，通知,əˈnaʊns
announcement,通告，公告,əˈnaʊnsmənt
annoy,使恼怒，使烦恼,əˈnɔɪ
annual,年度的，一年一度的,ˈænjuəl
another,另一个，另一个的,əˈnʌðə
answer,回答，答复；答案,ˈɑːnsə
ant,蚂蚁,ænt
Antarctic,南极的,ænˈtɑːktɪk
the Antarctic,南极地区,ði ænˈtɑːktɪk
Antarctica,南极洲,ænˈtɑːktɪkə
antique,古董，古物,ænˈtiːk
anxiety,焦虑，不安,æŋˈzaɪəti
anxious,焦虑的，渴望的,ˈæŋkʃəs
any,任何的,ˈeni
anybody,任何人,ˈenibɒdi
anyone,任何人,ˈeniwʌn
bad,坏的；有害的；严重的,bæd
badly,差；严重地,ˈbædli
badminton,羽毛球,ˈbædmɪntən
bag,包；手提包,bæɡ
baggage,行李,ˈbæɡɪdʒ
bake,烤，焙，烘,bek
bakery,面包店,ˈbeɪkəri
balance,平衡,ˈbæləns
balcony,阳台，楼座,ˈbælkəni
ball,球；舞会,bɔːl
ballet,芭蕾舞,bæˈleɪ
balloon,气球,bəˈluːn
ballpoint,圆珠笔,ˈbɔːlpɔɪnt
bamboo,竹子,bæmˈbuː
ban,禁止，取缔,bæn
banana,香蕉,bəˈnɑːnə
band,乐队,bænd
bandage,绷带,ˈbændɪdʒ
bang,砰（声音）,bæŋ
bank,银行；岸,bæŋk
bank account,银行账户,ˈbæŋk əˌkaʊnt
bar,条；酒吧；障碍物,bɑː
barbecue,烧烤，烤肉,ˈbɑːbɪkjuː
barber,理发师,ˈbɑːbə
barbershop,理发店,ˈbɑːbəʃɒp
bare,裸的；光秃秃的,beə
bargain,讨价还价，便宜货,ˈbɑːɡɪn
bark,狗叫,bɑːk
barrier,障碍物；屏障,ˈbæriə
base,基础；底部,beɪs
baseball,棒球,ˈbeɪsbɔːl
basement,地下室,ˈbeɪsmənt
basic,基本的,ˈbeɪsɪk
basin,盆；流域,ˈbeɪsn
basis,基础，根据,ˈbeɪsɪs
basket,篮子,ˈbɑːskɪt
basketball,篮球,ˈbɑːskɪtbɔːl
bat,球棒；蝙蝠,bæt
bath,洗澡，浴缸,bɑːθ
bathe,洗澡，游泳,beɪð
bathrobe,浴衣，浴袍,ˈbɑːθrəʊb
bathroom,浴室，卫生间,ˈbɑːθruːm
bathtub,浴缸,ˈbɑːθtʌb
battery,电池,ˈbætəri
battle,战斗，战役,ˈbætl
battleground,战场,ˈbætlɡraʊnd
bay,海湾,beɪ
BC,公元前,ˌbiːˈsiː
be,是，存在,biː
beach,海滩,biːtʃ
beam,光线；梁,biːm
bean,豆,biːn
beancurd,豆腐,ˈbiːnkɜːd
bear,忍受；熊,beə
beard,胡子,bɪəd
beast,野兽，牲畜,biːst
beat,打，跳动,biːt
beaten,被打的，打败的,ˈbiːtn
beat (乐节),节拍,biːt
beautiful,美丽的,ˈbjuːtɪfl
